error,category,name,url
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,chaitjo/working-women,https://github.com/chaitjo/working-women.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,zackchase/mxnet-the-straight-dope,https://github.com/zackchase/mxnet-the-straight-dope.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,natanielruiz/deep-head-pose,https://github.com/natanielruiz/deep-head-pose.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Synopsis/Synopsis-Analyzer,https://github.com/Synopsis/Synopsis-Analyzer.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,dbukowski/DBDebugToolkit,https://github.com/dbukowski/DBDebugToolkit.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,xrOxygen/xray-oxygen,https://github.com/xrOxygen/xray-oxygen.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,willkessler/jupytergraffiti,https://github.com/willkessler/jupytergraffiti.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,Qbicz/real-time-shape-detection,https://github.com/Qbicz/real-time-shape-detection.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,AhmetHamzaEmra/Intelegent_Lock,https://github.com/AhmetHamzaEmra/Intelegent_Lock.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,KaleabTessera/ICOOmen_ML_Model,https://github.com/KaleabTessera/ICOOmen_ML_Model.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,becauseofAI/MobileFace,https://github.com/becauseofAI/MobileFace.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,MaybeShewill-CV/nsfw-classification-tensorflow,https://github.com/MaybeShewill-CV/nsfw-classification-tensorflow.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,urcuqui/WhiteHat,https://github.com/urcuqui/WhiteHat.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,rieck/malheur,https://github.com/rieck/malheur.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Tool,ryfeus/gcf-packs,https://github.com/ryfeus/gcf-packs.git 
<urlopen error [Errno 11001] getaddrinfo failed>,No AI-ML,pydio/pydio-core,https://github.com/pydio/pydio-core.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,crazywolf132/Asher.Ai,https://github.com/crazywolf132/Asher.Ai.git 
